date,open,high,low,close,volume
2024-01-02,70000,70500,69500,70300,15234000
2024-01-03,70300,70800,70000,70700,18450000
2024-01-04,70700,71500,70400,71300,22110000
2024-01-05,71300,72000,71000,71800,27500000
2024-01-08,71800,72500,71500,72000,19800000
2024-01-09,72000,73000,71800,72900,24500000
2024-01-10,72900,73500,72500,73200,21000000
2024-01-11,73200,74000,73000,73800,32000000
2024-01-12,73800,75000,73600,74800,41000000
2024-01-15,74800,76000,74500,75800,52000000
2024-01-16,75800,77000,75500,76800,43000000
2024-01-17,76800,77500,76200,77100,34000000
2024-01-18,77100,78000,76800,77800,36000000
2024-01-19,77800,79000,77500,78800,49500000
2024-01-22,78800,80000,78200,79600,51000000
2024-01-23,79600,80500,79000,79200,42000000
2024-01-24,79200,79800,78500,78800,38000000
2024-01-25,78800,79500,78000,78200,36500000
2024-01-26,78200,79000,77800,78600,35200000
2024-01-29,78600,80000,78400,79800,51500000
2024-01-30,79800,81000,79200,80700,54200000
2024-01-31,80700,82000,80000,81500,61000000
2024-02-01,81500,82500,81000,82200,59000000
2024-02-02,82200,83500,81800,83200,67500000
2024-02-05,83200,84500,82800,84200,70200000

